STATEFIPS,STATE,ZIPCODE,TotalReturns,AdjustGrossIncome,SalariesWages,NetIncome
2,AK,99517,8842,581947,402243,31068
2,AK,99518,5511,324359,244803,10577
2,AK,99540,146,10708,5703,227
2,AK,99556,1132,51592,29136,3025
2,AK,99567,4445,309943,235876,9459
2,AK,99568,162,7162,4822,134
2,AK,99572,212,12474,6061,201
2,AK,99573,485,20234,13650,550
2,AK,99577,13269,1022025,774273,29726
2,AK,99586,258,10476,6782,239
2,AK,99588,717,33824,25143,378
2,AK,99603,5448,300665,158627,42471
2,AK,99605,116,4360,2508,79
2,AK,99610,1168,63271,41829,3688
2,AK,99611,6828,406562,290399,13143
2,AK,99615,6844,379490,250655,34929
2,AK,99631,138,6625,4729,462
2,AK,99639,611,28888,16753,808
2,AK,99645,12553,775992,564999,29112
2,AK,99654,13603,831246,613718,30087
2,AK,99664,2505,140453,87596,7157
2,AK,99669,7838,501042,341414,20841
2,AK,99672,1658,98022,63637,3316
2,AK,99674,704,31339,21500,1402
2,AK,99676,929,41100,27681,1232
2,AK,99686,2149,149900,110234,1991
2,AK,99688,1340,67601,41649,2772
2,AK,99701,8894,404272,290408,12182
2,AK,99702,1176,45701,43750,80
2,AK,99703,3104,76897,73153,228
2,AK,99705,9456,536750,426465,8192
2,AK,99709,11028,705162,496881,20915
2,AK,99712,4662,308654,230272,7332
2,AK,99714,469,26306,17520,255
2,AK,99737,2042,107508,76516,2331
2,AK,99743,614,36870,29017,678
2,AK,99760,394,17982,12774,154
2,AK,99780,880,37804,25610,547
2,AK,99801,12374,743347,519473,36718
2,AK,99824,1152,74371,49082,3654
2,AK,99827,1375,58302,33423,4196
2,AK,99835,4761,270955,165402,24429
2,AK,99901,6437,360797,243676,23259
2,AK,99999,83635,4416492,3105812,206263
4,AZ,0,2732153,146428449,103645739,4556006
4,AZ,85003,3562,210179,164496,9333
4,AZ,85004,2503,147967,101818,6156
4,AZ,85006,10663,302873,263678,12009
4,AZ,85007,5277,208788,156874,9080
4,AZ,85008,22898,666044,583051,20659
4,AZ,85009,18648,464309,401721,19021
4,AZ,85012,3589,290728,176388,15444
4,AZ,85013,9775,547732,396675,22876
4,AZ,85014,11866,555534,415248,22688
4,AZ,85015,17669,522205,439589,17150
4,AZ,85016,16663,1405259,766576,48068
4,AZ,85017,16344,402136,349187,15887
4,AZ,85018,17475,1809550,1021371,79266
4,AZ,85019,11933,329589,279660,11351
4,AZ,85020,15869,924775,620936,40311
4,AZ,85021,16439,832948,578407,30860
4,AZ,85022,22342,1183116,891841,42790
4,AZ,85023,14730,768583,572627,22760
4,AZ,85024,11168,646809,554407,16782
4,AZ,85027,17362,732777,622841,17793
4,AZ,85028,10054,860236,587041,34637
4,AZ,85029,18928,683749,544678,20777
4,AZ,85031,11938,293464,255283,11752
4,AZ,85032,31076,1350276,1094711,49957
4,AZ,85033,20912,539684,465322,22789
4,AZ,85034,1974,67534,52308,1881
4,AZ,85035,19588,487818,433608,19225
4,AZ,85037,18686,615658,536539,21375
4,AZ,85040,11597,324260,277329,10821
4,AZ,85041,22540,765188,670429,22705
4,AZ,85042,17097,690365,579929,17657
4,AZ,85043,12446,405388,361385,12702
4,AZ,85044,19256,1329492,1003437,38537
4,AZ,85045,3146,331952,275860,9924
4,AZ,85048,15489,1430911,1114288,39312
4,AZ,85050,12813,1029386,801667,37081
4,AZ,85051,17010,538448,427837,18514
4,AZ,85053,13027,526181,424882,14784
4,AZ,85054,2480,222643,169619,8135
4,AZ,85083,7378,637074,514231,20975
4,AZ,85085,8816,661349,549383,22404
4,AZ,85086,15487,1284022,874972,46513
4,AZ,85087,3292,211006,153510,7617
4,AZ,85118,5047,360827,181942,9632
4,AZ,85119,7956,350367,242054,9166
4,AZ,85120,10583,335782,239699,6869
4,AZ,85122,17862,757880,577284,16225
4,AZ,85128,5002,186050,145253,2859
4,AZ,85131,4145,133789,97457,3400
4,AZ,85132,5830,264236,190730,5109
4,AZ,85137,852,40272,31259,-250
4,AZ,85138,11638,610281,497861,11604
4,AZ,85139,6447,291578,244338,4948
4,AZ,85140,10782,528942,442894,11454
4,AZ,85142,17831,1092686,893739,31224
4,AZ,85143,11640,531998,438914,11713
4,AZ,85145,616,32097,27565,144
4,AZ,85172,797,28257,22724,616
4,AZ,85173,981,39530,31627,250
4,AZ,85192,548,22903,18785,259
